Loan_ID,Bank,Customer_Name,Gender,Married,Dependents,Education,Employment_Status,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term_Months,Credit_History,Property_Area,Age,Loan_Status,CIBIL_Score,Annual_Household_Income,Debt_to_Income_Ratio,Purpose_of_Loan,Existing_EMIs,Number_of_Previous_Loans,Default_History_Count,Employment_Length_Years,Business_Type,Asset_Value,Guarantor,Co-signer_Relationship,Monthly_Expense,Organization_Type,Region_Branch,Mobile_Verified,Email_Verified,Institutional_Relationships,Application_Text,Customer_Feedback,Agent_Notes,Loan_to_Annual_Income,Customer_Sentiment,Religion,State,City,PIN_Code,Aadhaar_Synthetic,Phone_Number,Email,Occupation
0.0,0.0,31.0,1.0,0.0,2.0,0.0,1.0,56976.0,0.0,7728174.625,360.0,1.0,2.0,36.0,0.0,699.0,683712.0,0.098,3.0,5610.0,0.0,0.0,1.0,6.0,744861.0,0.0,1.0,30391.0,3.0,4.0,1.0,1.0,4.0,154.0,2.0,4.0,11.747,2.0,2.0,0.0,5.0,857743.0,694000000000.0,9068671773.0,31.0,8.0
1.0,0.0,31.0,1.0,0.0,0.0,0.0,3.0,1856.0,0.0,899361.0,240.0,1.0,0.0,42.0,1.0,707.0,22272.0,1.9409999999999998,1.0,9166.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,1856.0,4.0,2.0,1.0,1.0,2.0,67.0,1.0,1.0,19.84825,0.0,2.0,5.0,15.0,863836.0,633000000000.0,9990772625.0,31.0,2.0
2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,64553.0,0.0,2387748.0,60.0,1.0,0.0,38.0,0.0,641.0,774636.0,0.0,1.0,0.0,2.0,0.0,1.0,6.0,2913766.0,0.0,5.0,24557.0,2.0,0.0,1.0,1.0,0.0,49.0,3.0,1.0,3.082,2.0,2.0,4.0,19.0,834796.0,166000000000.0,9195085016.0,1.0,12.0
3.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,88450.0,0.0,658856.0,12.0,1.0,1.0,32.0,0.0,677.0,1061400.0,0.301,5.0,26613.0,1.0,0.0,3.0,6.0,3488244.0,0.0,1.0,36750.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.621,0.0,2.0,1.0,27.0,438590.0,55281832538.0,9179335548.0,4.0,11.0
4.0,0.0,11.0,1.0,1.0,3.0,0.0,2.0,9539.0,0.0,198671.0,36.0,0.0,1.0,35.0,0.0,594.0,114468.0,0.0,5.0,0.0,0.0,0.0,2.0,6.0,472179.0,0.0,2.0,3920.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,1.736,1.0,2.0,9.0,12.0,495224.0,156000000000.0,9795137116.0,11.0,14.0
5.0,0.0,36.0,1.0,1.0,1.0,0.0,1.0,39184.0,0.0,494949.0,36.0,1.0,0.0,24.0,0.0,682.0,470208.0,0.469,0.0,18373.0,0.0,0.0,1.0,6.0,1399683.0,0.0,5.0,17773.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,1.053,0.0,2.0,9.0,12.0,931296.0,124000000000.0,9827567043.0,36.0,8.0
6.0,0.0,18.0,0.0,1.0,0.0,1.0,1.0,81223.0,0.0,1565649.0,120.0,1.0,1.0,43.0,0.0,693.0,974676.0,0.646,1.0,52446.0,0.0,0.0,7.5,6.0,2068763.0,0.0,5.0,37145.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,4.0,1.606,2.0,2.0,4.0,17.0,617301.0,857000000000.0,9492424375.0,18.0,7.0
7.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5879217.0,120.0,1.0,1.0,27.0,1.0,723.0,0.0,1.9409999999999998,3.0,712.0,0.0,0.0,0.0,6.0,662552.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,3.0,136.0,3.0,2.0,19.84825,2.0,2.0,4.0,17.0,223874.0,547000000000.0,9310592745.0,13.0,14.0
8.0,0.0,29.0,1.0,1.0,3.0,0.0,3.0,17675.0,0.0,1015184.0,48.0,0.0,2.0,30.0,1.0,593.0,212100.0,1.557,0.0,27513.0,0.0,0.0,1.0,6.0,574233.0,0.0,5.0,11655.0,2.0,4.0,1.0,1.0,3.0,0.0,1.0,3.0,4.786,2.0,2.0,0.0,23.0,142206.0,55257828410.0,9672752088.0,29.0,1.0
9.0,0.0,24.0,1.0,0.0,3.0,0.0,1.0,71409.0,0.0,128951.0,24.0,0.0,0.0,39.0,0.0,538.0,856908.0,0.0,5.0,0.0,1.0,0.0,1.0,6.0,2804582.0,0.0,1.0,26217.0,4.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.15,2.0,2.0,9.0,6.0,927782.0,493000000000.0,9406937515.0,24.0,0.0
